dutch,arabic
kameel,جَمَلٌ
moskee,مَسْجِدٌ
vlag,عَلَمٌ
pennen,أَقْلَامٌ
knoflook,ثُومٌ
maan,قَمَرٌ
paraplu,مِظَلَّةٌ
liniaal,مِسْطَرَةٌ
abrikoos,مِشْمِشٌ
banaan,مَوْزٌ
huis,بَيْتٌ
bibliotheek,مَكْتَبَةٌ
computer,حَاسُوبٌ
boeken,كُتُبٌ
melk,حَلِيبٌ
eieren,بَيْضٌ
zee,بَحْرٌ
berg,جَبَلٌ
beer,دُبٌّ
sinaasappel,بُرْتُقَالٌ
wassen,يَغْسِلُ
speelgoed,لُعْبَةٌ
kleuren,أَلْوَانٌ
zout,مِلْحٌ
citroen,لَيْمُونٌ
zijzat,جَلَسَتْ
eten,الأَكْلُ
kameel,جَمَلٌ
zand,رَمْلٌ
hij speelt,يَلْعَبُ
fiets,دَرَّاجَةٌ
leeuw,أَسَدٌ
trappenhuis,دَرَجٌ
jongen,وَلَدٌ
pop,دُمْيَةٌ
tuin,حَدِيقَةٌ
roos,وَرْدَةٌ
aap,قِرْدٌ
krant,جَرِيدَةٌ
tafel,مَائِدَةٌ
geld,نُقُودٌ
raam,نَافِذَةٌ
huis,مَنْزِلٌ
bezem,مِكْنَسَةٌ
vuur,نَارٌ
mier,نَمْلَةٌ
weegschaal,مِيزَانٌ
druif,عِنَبٌ
bij,نَحْلَةٌ
rivier,نَهْرٌ
granaatappel,رُمَّانٌ
dadels,تَمْرٌ
vlinder,فَرَاشَةٌ
trein,قِطَارٌ
steen,حَجَرٌ
sap,عَصِيرٌ
tijger,نَمِرٌ
straat,شَارِعٌ
hoofd,رَأْسٌ
auto,سَيَّارَةٌ
